Energy   Error
-0.162136         0.0169038
-0.162136         0.0169038
-0.162136         0.0169038
-0.306333         0.00515432
-0.306333         0.00515432
-0.306333         0.00515432
-0.306333         0.00515432
-0.306333         0.00515432
-0.287957         0.00406117
-0.264113         0.00346086
-0.264113         0.00346086
-0.369855         0.0026047
-0.369855         0.0026047
-0.369855         0.0026047
-0.34104         0.00282654
-0.34104         0.00282654
-0.34104         0.00282654
-0.34104         0.00282654
-0.34104         0.00282654
-0.373974         0.00537412
-0.357365         0.00317259
-0.404138         0.00288034
-0.404138         0.00288034
-0.438519         0.00347671
-0.382095         0.00403977
-0.382095         0.00403977
-0.382095         0.00403977
-0.382095         0.00403977
-0.382095         0.00403977
-0.382095         0.00403977
-0.382095         0.00403977
-0.403716         0.00309089
-0.403716         0.00309089
-0.403716         0.00309089
-0.403716         0.00309089
-0.439855         0.00253678
-0.378554         0.00338765
-0.378554         0.00338765
-0.378554         0.00338765
-0.432609         0.00246924
-0.409786         0.00313722
-0.409786         0.00313722
-0.409786         0.00313722
-0.409786         0.00313722
-0.436001         0.00200045
-0.441703         0.00260302
-0.441703         0.00260302
-0.405769         0.00389576
-0.434069         0.00300104
-0.434069         0.00300104
-0.403638         0.00211198
-0.327904         0.00411346
-0.437404         0.00260631
-0.437404         0.00260631
-0.437404         0.00260631
-0.410989         0.00492872
-0.416008         0.0035913
-0.405296         0.00337557
-0.412523         0.00325893
-0.412523         0.00325893
-0.412523         0.00325893
-0.412523         0.00325893
-0.386363         0.00366627
-0.386363         0.00366627
-0.386363         0.00366627
-0.3209         0.00606106
-0.381226         0.00349163
-0.407216         0.00285629
-0.407216         0.00285629
-0.407216         0.00285629
-0.373675         0.00453411
-0.432287         0.00367057
-0.404978         0.0031534
-0.404978         0.0031534
-0.404978         0.0031534
-0.404978         0.0031534
-0.379345         0.00463073
-0.379345         0.00463073
-0.43444         0.00184195
-0.427837         0.00223097
-0.437431         0.00268588
-0.391405         0.00303136
-0.391405         0.00303136
-0.415268         0.00241753
-0.415268         0.00241753
-0.402722         0.00482479
-0.382127         0.00386945
-0.382127         0.00386945
-0.443072         0.00232668
-0.443072         0.00232668
-0.443072         0.00232668
-0.390265         0.00439232
-0.403808         0.00375567
