#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         389     1.76443     2.14423   0.0284623
         390     1.76326     2.14326   0.0284061
         391     1.76209     2.14228   0.0283501
         392     1.76093     2.14131   0.0282945
         393     1.75979     2.14034   0.0282392
         394     1.75865     2.13937   0.0281841
         395     1.75754      2.1384   0.0281293
         396     1.75645     2.13744   0.0280748
         397     1.75538     2.13647   0.0280206
         398     1.75433     2.13551   0.0279666
         399     1.75331     2.13456   0.0279129
         400     1.75232      2.1336   0.0278595
         401     1.75136     2.13265   0.0278063
         402     1.75044      2.1317   0.0277534
         403     1.74955     2.13075   0.0277007
         404     1.74869      2.1298   0.0276483
         405     1.74787     2.12886   0.0275961
         406      1.7471     2.12792   0.0275442
         407     1.74636     2.12698   0.0274924
         408     1.74566     2.12605   0.0274409
         409     1.74501     2.12512   0.0273897
         410      1.7444     2.12419   0.0273386
         411     1.74384     2.12326   0.0272877
         412     1.74333     2.12234   0.0272371
         413     1.74286     2.12142   0.0271866
         414     1.74244     2.12051   0.0271364
         415     1.74207     2.11959   0.0270863
         416     1.74175     2.11869   0.0270364
         417     1.74149     2.11778   0.0269867
         418     1.74128     2.11688   0.0269372
         419     1.74112     2.11598   0.0268878
         420     1.74102     2.11509   0.0268386
         421     1.74098      2.1142   0.0267896
         422     1.74099     2.11332   0.0267407
         423     1.74107     2.11244   0.0266919
         424     1.74121     2.11156   0.0266433
         425     1.74141     2.11069   0.0265949
         426     1.74168     2.10982   0.0265465
         427     1.74201     2.10896   0.0264983
         428     1.74242     2.10811   0.0264503
         429     1.74289     2.10726   0.0264023
         430     1.74343     2.10641   0.0263545
         431     1.74405     2.10557   0.0263067
         432     1.74474     2.10473   0.0262591
         433     1.74552      2.1039   0.0262115
         434     1.74636     2.10308   0.0261641
         435     1.74729     2.10226   0.0261167
         436      1.7483     2.10145   0.0260694
         437     1.74939     2.10064   0.0260222
         438     1.75057     2.09985   0.0259751
         439     1.75183     2.09905    0.025928
         440     1.75318     2.09827    0.025881
         441     1.75461     2.09749    0.025834
         442     1.75613     2.09672   0.0257871
         443     1.75774     2.09595   0.0257403
         444     1.75943     2.09519   0.0256935
         445     1.76121     2.09444   0.0256467
         446     1.76308      2.0937   0.0255999
         447     1.76503     2.09296   0.0255532
         448     1.76706     2.09224   0.0255065
         449     1.76918     2.09152   0.0254599
         450     1.77137      2.0908   0.0254132
         451     1.77364      2.0901   0.0253666
         452     1.77598     2.08941     0.02532
         453      1.7784     2.08872   0.0252734
         454     1.78088     2.08804   0.0252268
         455     1.78343     2.08737   0.0251803
         456     1.78603     2.08671   0.0251337
         457      1.7887     2.08606   0.0250872
         458     1.79141     2.08542   0.0250407
         459     1.79417     2.08478   0.0249941
         460     1.79698     2.08416   0.0249476
         461     1.79982     2.08354   0.0249011
         462     1.80269     2.08293   0.0248547
         463     1.80559     2.08233   0.0248082
         464     1.80851     2.08174   0.0247618
         465     1.81145     2.08116   0.0247153
         466     1.81439     2.08059   0.0246689
         467     1.81734     2.08002   0.0246225
         468     1.82029     2.07947   0.0245762
         469     1.82323     2.07892   0.0245298
         470     1.82616     2.07839   0.0244836
         471     1.82907     2.07786   0.0244373
         472     1.83196     2.07734   0.0243911
         473     1.83482     2.07682   0.0243449
         474     1.83765     2.07632   0.0242988
         475     1.84045     2.07582   0.0242527
         476      1.8432     2.07533   0.0242066
         477      1.8459     2.07485   0.0241607
         478     1.84856     2.07438   0.0241148
         479     1.85116     2.07391   0.0240689
         480     1.85371     2.07345   0.0240232
         481      1.8562       2.073   0.0239775
         482     1.85863     2.07256   0.0239318
         483     1.86099     2.07212   0.0238863
         484     1.86329     2.07169   0.0238408
         485     1.86552     2.07126   0.0237955
         486     1.86767     2.07084   0.0237502
         487     1.86976     2.07043    0.023705
         488     1.87177     2.07002   0.0236599
         489     1.87371     2.06962    0.023615
         490     1.87558     2.06923   0.0235701
         491     1.87737     2.06884   0.0235253
         492     1.87909     2.06845   0.0234807
         493     1.88073     2.06807   0.0234361
         494     1.88229     2.06769   0.0233917
         495     1.88378     2.06732   0.0233474
         496      1.8852     2.06695   0.0233032
         497     1.88655     2.06659   0.0232592
         498     1.88782     2.06623   0.0232152
         499     1.88902     2.06588   0.0231714
         500     1.89015     2.06553   0.0231277
         501     1.89121     2.06518   0.0230842
         502     1.89221     2.06483   0.0230408
         503     1.89314     2.06449   0.0229975
         504     1.89401     2.06415   0.0229544
         505     1.89481     2.06382   0.0229113
         506     1.89556     2.06349   0.0228685
         507     1.89624     2.06316   0.0228258
         508     1.89686     2.06283   0.0227832
         509     1.89743      2.0625   0.0227407
         510     1.89795     2.06218   0.0226984
         511     1.89841     2.06186   0.0226563
         512     1.89882     2.06154   0.0226143
         513     1.89919     2.06123   0.0225724
         514      1.8995     2.06091   0.0225307
         515     1.89977      2.0606   0.0224891
         516         1.9     2.06029   0.0224477
         517     1.90019     2.05998   0.0224064
         518     1.90033     2.05967   0.0223652
         519     1.90044     2.05936   0.0223242
         520     1.90051     2.05906   0.0222834
         521     1.90054     2.05875   0.0222427
         522     1.90054     2.05845   0.0222022
         523     1.90051     2.05815   0.0221618
         524     1.90045     2.05785   0.0221215
         525     1.90035     2.05755   0.0220814
         526     1.90023     2.05725   0.0220415
         527     1.90009     2.05695   0.0220017
         528     1.89992     2.05665    0.021962
         529     1.89972     2.05636   0.0219225
         530      1.8995     2.05606   0.0218831
         531     1.89926     2.05576   0.0218439
         532       1.899     2.05547   0.0218048
         533     1.89872     2.05518   0.0217659
         534     1.89842     2.05488   0.0217271
         535      1.8981     2.05459   0.0216885
         536     1.89776      2.0543     0.02165
         537     1.89741       2.054   0.0216116
         538     1.89704     2.05371   0.0215734
         539     1.89665     2.05342   0.0215354
         540     1.89625     2.05313   0.0214975
         541     1.89584     2.05284   0.0214597
         542     1.89541     2.05255   0.0214221
         543     1.89497     2.05226   0.0213846
         544     1.89451     2.05197   0.0213472
         545     1.89404     2.05168     0.02131
         546     1.89356     2.05139    0.021273
         547     1.89306      2.0511   0.0212361
         548     1.89255     2.05081   0.0211993
         549     1.89203     2.05052   0.0211626
         550     1.89149     2.05023   0.0211261
         551     1.89095     2.04994   0.0210898
         552     1.89039     2.04965   0.0210535
         553     1.88981     2.04936   0.0210175
         554     1.88923     2.04908   0.0209815
         555     1.88862     2.04879   0.0209457
         556     1.88801      2.0485     0.02091
         557     1.88738     2.04821   0.0208745
         558     1.88673     2.04792   0.0208391
         559     1.88607     2.04763   0.0208038
         560      1.8854     2.04734   0.0207687
         561     1.88471     2.04705   0.0207337
         562       1.884     2.04676   0.0206988
         563     1.88327     2.04647   0.0206641
         564     1.88252     2.04618   0.0206295
         565     1.88176     2.04589    0.020595
         566     1.88097      2.0456   0.0205607
         567     1.88017      2.0453   0.0205265
         568     1.87935     2.04501   0.0204925
         569      1.8785     2.04472   0.0204585
         570     1.87763     2.04443   0.0204247
         571     1.87674     2.04413   0.0203911
         572     1.87582     2.04384   0.0203576
         573     1.87488     2.04354   0.0203242
         574     1.87392     2.04325   0.0202909
         575     1.87292     2.04295   0.0202578
         576     1.87191     2.04265   0.0202248
         577     1.87086     2.04236   0.0201919
         578     1.86979     2.04206   0.0201592
         579     1.86868     2.04176   0.0201266
         580     1.86755     2.04146   0.0200941
         581     1.86639     2.04116   0.0200618
         582      1.8652     2.04085   0.0200296
         583     1.86399     2.04055   0.0199976
         584     1.86274     2.04025   0.0199656
         585     1.86146     2.03994   0.0199339
         586     1.86015     2.03963   0.0199022
         587     1.85881     2.03933   0.0198707
         588     1.85744     2.03902   0.0198393
         589     1.85604     2.03871    0.019808
         590     1.85461     2.03839   0.0197769
         591     1.85315     2.03808   0.0197459
         592     1.85166     2.03777   0.0197151
         593     1.85014     2.03745   0.0196844
         594      1.8486     2.03713   0.0196538
         595     1.84703     2.03681   0.0196234
         596     1.84544     2.03649   0.0195931
         597     1.84382     2.03617   0.0195629
         598     1.84217     2.03584   0.0195329
         599      1.8405     2.03552    0.019503
         600     1.83881     2.03519   0.0194733
         601      1.8371     2.03486   0.0194437
         602     1.83537     2.03453   0.0194142
         603     1.83362      2.0342   0.0193848
         604     1.83186     2.03386   0.0193556
         605     1.83007     2.03352   0.0193266
         606     1.82828     2.03319   0.0192977
         607     1.82647     2.03284   0.0192689
         608     1.82465      2.0325   0.0192402
         609     1.82282     2.03216   0.0192117
         610     1.82098     2.03181   0.0191833
         611     1.81913     2.03146   0.0191551
         612     1.81728     2.03111    0.019127
         613     1.81542     2.03076    0.019099
         614     1.81356     2.03041   0.0190712
         615      1.8117     2.03005   0.0190435
         616     1.80984      2.0297   0.0190159
         617     1.80797     2.02934   0.0189885
         618     1.80611     2.02897   0.0189612
         619     1.80424     2.02861   0.0189341
         620     1.80238     2.02825    0.018907
         621     1.80052     2.02788   0.0188802
         622     1.79866     2.02751   0.0188534
         623     1.79681     2.02714   0.0188268
         624     1.79496     2.02677   0.0188003
         625     1.79311      2.0264   0.0187739
         626     1.79127     2.02602   0.0187477
         627     1.78943     2.02564   0.0187216
         628     1.78759     2.02526   0.0186956
         629     1.78575     2.02488   0.0186698
         630     1.78392      2.0245    0.018644
         631     1.78209     2.02412   0.0186184
         632     1.78027     2.02373    0.018593
         633     1.77844     2.02334   0.0185676
         634     1.77662     2.02295   0.0185424
         635      1.7748     2.02256   0.0185174
         636     1.77297     2.02217   0.0184924
         637     1.77115     2.02178   0.0184676
         638     1.76933     2.02138   0.0184429
         639      1.7675     2.02098   0.0184183
         640     1.76567     2.02058   0.0183938
         641     1.76384     2.02018   0.0183695
         642     1.76201     2.01978   0.0183453
         643     1.76018     2.01938   0.0183212
         644     1.75834     2.01897   0.0182972
         645      1.7565     2.01857   0.0182734
         646     1.75466     2.01816   0.0182497
         647     1.75282     2.01775   0.0182261
         648     1.75097     2.01734   0.0182026
         649     1.74912     2.01692   0.0181792
         650     1.74727     2.01651    0.018156
         651     1.74543     2.01609   0.0181329
         652     1.74358     2.01567   0.0181099
