#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
        5115     1.41844     1.32976  0.00101218
        5116      1.4185     1.32978  0.00101213
        5117     1.41856      1.3298  0.00101208
        5118     1.41861     1.32981  0.00101203
        5119     1.41867     1.32983  0.00101198
        5120     1.41872     1.32985  0.00101193
        5121     1.41877     1.32987  0.00101188
        5122     1.41883     1.32988  0.00101184
        5123     1.41888      1.3299  0.00101179
        5124     1.41893     1.32992  0.00101174
        5125     1.41897     1.32993  0.00101169
        5126     1.41902     1.32995  0.00101164
        5127     1.41907     1.32997  0.00101159
        5128     1.41911     1.32999  0.00101155
        5129     1.41915        1.33   0.0010115
        5130      1.4192     1.33002  0.00101145
        5131     1.41924     1.33004   0.0010114
        5132     1.41928     1.33006  0.00101136
        5133     1.41932     1.33007  0.00101131
        5134     1.41935     1.33009  0.00101126
        5135     1.41939     1.33011  0.00101121
        5136     1.41943     1.33013  0.00101117
        5137     1.41946     1.33014  0.00101112
        5138      1.4195     1.33016  0.00101107
        5139     1.41953     1.33018  0.00101102
        5140     1.41956      1.3302  0.00101098
        5141     1.41959     1.33021  0.00101093
        5142     1.41962     1.33023  0.00101088
        5143     1.41965     1.33025  0.00101084
        5144     1.41968     1.33027  0.00101079
        5145     1.41971     1.33028  0.00101074
        5146     1.41973      1.3303   0.0010107
        5147     1.41976     1.33032  0.00101065
        5148     1.41978     1.33033   0.0010106
        5149      1.4198     1.33035  0.00101055
        5150     1.41983     1.33037  0.00101051
        5151     1.41985     1.33039  0.00101046
        5152     1.41987      1.3304  0.00101041
        5153     1.41989     1.33042  0.00101037
        5154     1.41991     1.33044  0.00101032
        5155     1.41993     1.33046  0.00101027
        5156     1.41994     1.33047  0.00101023
        5157     1.41996     1.33049  0.00101018
        5158     1.41998     1.33051  0.00101013
        5159     1.41999     1.33053  0.00101009
        5160     1.42001     1.33054  0.00101004
        5161     1.42002     1.33056  0.00100999
        5162     1.42003     1.33058  0.00100994
        5163     1.42005     1.33059   0.0010099
        5164     1.42006     1.33061  0.00100985
        5165     1.42007     1.33063   0.0010098
        5166     1.42008     1.33065  0.00100976
        5167     1.42009     1.33066  0.00100971
        5168      1.4201     1.33068  0.00100966
        5169      1.4201      1.3307  0.00100962
        5170     1.42011     1.33072  0.00100957
        5171     1.42012     1.33073  0.00100952
        5172     1.42012     1.33075  0.00100947
        5173     1.42013     1.33077  0.00100943
        5174     1.42013     1.33079  0.00100938
        5175     1.42014      1.3308  0.00100933
        5176     1.42014     1.33082  0.00100928
        5177     1.42015     1.33084  0.00100924
        5178     1.42015     1.33085  0.00100919
        5179     1.42015     1.33087  0.00100914
        5180     1.42015     1.33089  0.00100909
        5181     1.42015     1.33091  0.00100905
        5182     1.42015     1.33092    0.001009
        5183     1.42015     1.33094  0.00100895
        5184     1.42015     1.33096   0.0010089
        5185     1.42015     1.33097  0.00100886
        5186     1.42015     1.33099  0.00100881
        5187     1.42015     1.33101  0.00100876
        5188     1.42015     1.33103  0.00100871
        5189     1.42015     1.33104  0.00100866
        5190     1.42015     1.33106  0.00100861
        5191     1.42014     1.33108  0.00100857
        5192     1.42014     1.33109  0.00100852
        5193     1.42014     1.33111  0.00100847
        5194     1.42013     1.33113  0.00100842
        5195     1.42013     1.33115  0.00100837
        5196     1.42012     1.33116  0.00100832
        5197     1.42012     1.33118  0.00100827
        5198     1.42011      1.3312  0.00100823
        5199     1.42011     1.33121  0.00100818
        5200      1.4201     1.33123  0.00100813
        5201      1.4201     1.33125  0.00100808
        5202     1.42009     1.33127  0.00100803
        5203     1.42009     1.33128  0.00100798
        5204     1.42008      1.3313  0.00100793
        5205     1.42008     1.33132  0.00100788
        5206     1.42007     1.33133  0.00100783
        5207     1.42006     1.33135  0.00100778
        5208     1.42006     1.33137  0.00100773
        5209     1.42005     1.33139  0.00100768
        5210     1.42004      1.3314  0.00100763
        5211     1.42004     1.33142  0.00100758
        5212     1.42003     1.33144  0.00100753
        5213     1.42002     1.33145  0.00100748
        5214     1.42002     1.33147  0.00100743
        5215     1.42001     1.33149  0.00100738
        5216        1.42      1.3315  0.00100733
        5217        1.42     1.33152  0.00100728
        5218     1.41999     1.33154  0.00100723
        5219     1.41999     1.33156  0.00100718
        5220     1.41998     1.33157  0.00100713
        5221     1.41997     1.33159  0.00100708
        5222     1.41997     1.33161  0.00100703
        5223     1.41996     1.33162  0.00100698
        5224     1.41995     1.33164  0.00100693
        5225     1.41995     1.33166  0.00100688
        5226     1.41994     1.33167  0.00100683
        5227     1.41993     1.33169  0.00100678
        5228     1.41993     1.33171  0.00100673
        5229     1.41992     1.33172  0.00100667
        5230     1.41992     1.33174  0.00100662
        5231     1.41991     1.33176  0.00100657
        5232      1.4199     1.33177  0.00100652
        5233      1.4199     1.33179  0.00100647
        5234     1.41989     1.33181  0.00100642
        5235     1.41989     1.33183  0.00100637
        5236     1.41988     1.33184  0.00100631
        5237     1.41987     1.33186  0.00100626
        5238     1.41987     1.33188  0.00100621
        5239     1.41986     1.33189  0.00100616
        5240     1.41986     1.33191  0.00100611
        5241     1.41985     1.33193  0.00100605
        5242     1.41984     1.33194    0.001006
        5243     1.41984     1.33196  0.00100595
        5244     1.41983     1.33198   0.0010059
        5245     1.41982     1.33199  0.00100585
        5246     1.41982     1.33201  0.00100579
        5247     1.41981     1.33203  0.00100574
        5248      1.4198     1.33204  0.00100569
        5249      1.4198     1.33206  0.00100564
        5250     1.41979     1.33208  0.00100558
        5251     1.41978     1.33209  0.00100553
        5252     1.41978     1.33211  0.00100548
        5253     1.41977     1.33213  0.00100542
        5254     1.41976     1.33214  0.00100537
        5255     1.41975     1.33216  0.00100532
        5256     1.41974     1.33218  0.00100527
        5257     1.41973     1.33219  0.00100521
        5258     1.41972     1.33221  0.00100516
        5259     1.41971     1.33223   0.0010051
        5260      1.4197     1.33224  0.00100505
        5261     1.41969     1.33226    0.001005
        5262     1.41967     1.33228  0.00100494
        5263     1.41966     1.33229  0.00100489
        5264     1.41965     1.33231  0.00100484
        5265     1.41963     1.33233  0.00100478
        5266     1.41961     1.33234  0.00100473
        5267      1.4196     1.33236  0.00100467
        5268     1.41958     1.33238  0.00100462
        5269     1.41956     1.33239  0.00100457
        5270     1.41954     1.33241  0.00100451
        5271     1.41952     1.33243  0.00100446
        5272      1.4195     1.33244   0.0010044
        5273     1.41947     1.33246  0.00100435
        5274     1.41945     1.33248  0.00100429
        5275     1.41942     1.33249  0.00100424
        5276     1.41939     1.33251  0.00100418
        5277     1.41936     1.33252  0.00100413
        5278     1.41933     1.33254  0.00100407
        5279      1.4193     1.33256  0.00100401
        5280     1.41926     1.33257  0.00100396
        5281     1.41923     1.33259   0.0010039
        5282     1.41919     1.33261  0.00100385
        5283     1.41915     1.33262  0.00100379
        5284      1.4191     1.33264  0.00100373
        5285     1.41906     1.33266  0.00100368
        5286     1.41901     1.33267  0.00100362
        5287     1.41896     1.33269  0.00100356
        5288     1.41891      1.3327  0.00100351
        5289     1.41885     1.33272  0.00100345
        5290     1.41879     1.33274  0.00100339
        5291     1.41873     1.33275  0.00100333
        5292     1.41867     1.33277  0.00100327
        5293      1.4186     1.33279  0.00100322
        5294     1.41853      1.3328  0.00100316
        5295     1.41846     1.33282   0.0010031
        5296     1.41838     1.33283  0.00100304
        5297      1.4183     1.33285  0.00100298
        5298     1.41822     1.33287  0.00100292
        5299     1.41813     1.33288  0.00100286
        5300     1.41804      1.3329   0.0010028
        5301     1.41795     1.33292  0.00100274
        5302     1.41785     1.33293  0.00100268
        5303     1.41775     1.33295  0.00100261
        5304     1.41764     1.33296  0.00100255
        5305     1.41753     1.33298  0.00100249
        5306     1.41742     1.33299  0.00100243
        5307      1.4173     1.33301  0.00100236
        5308     1.41718     1.33303   0.0010023
        5309     1.41705     1.33304  0.00100224
        5310     1.41692     1.33306  0.00100217
        5311     1.41678     1.33307  0.00100211
        5312     1.41664     1.33309  0.00100204
        5313     1.41649     1.33311  0.00100198
        5314     1.41634     1.33312  0.00100191
        5315     1.41618     1.33314  0.00100184
        5316     1.41602     1.33315  0.00100178
        5317     1.41585     1.33317  0.00100171
        5318     1.41568     1.33318  0.00100164
        5319      1.4155      1.3332  0.00100157
        5320     1.41532     1.33321   0.0010015
        5321     1.41513     1.33323  0.00100143
        5322     1.41493     1.33325  0.00100136
        5323     1.41473     1.33326  0.00100129
        5324     1.41453     1.33328  0.00100122
        5325     1.41431     1.33329  0.00100115
        5326      1.4141     1.33331  0.00100107
        5327     1.41387     1.33332    0.001001
        5328     1.41364     1.33334  0.00100093
        5329     1.41341     1.33335  0.00100085
        5330     1.41317     1.33337  0.00100078
        5331     1.41292     1.33338   0.0010007
        5332     1.41267      1.3334  0.00100062
        5333     1.41241     1.33341  0.00100054
        5334     1.41214     1.33343  0.00100047
        5335     1.41187     1.33344  0.00100039
        5336     1.41159     1.33346  0.00100031
        5337     1.41131     1.33347  0.00100022
        5338     1.41102     1.33348  0.00100014
        5339     1.41072      1.3335  0.00100006
        5340     1.41042     1.33351 0.000999977
        5341     1.41012     1.33353 0.000999892
        5342     1.40981     1.33354 0.000999807
        5343     1.40949     1.33356 0.000999721
        5344     1.40916     1.33357 0.000999634
        5345     1.40884     1.33358 0.000999546
        5346      1.4085      1.3336 0.000999458
        5347     1.40816     1.33361 0.000999368
        5348     1.40782     1.33363 0.000999277
        5349     1.40747     1.33364 0.000999186
        5350     1.40712     1.33365 0.000999094
        5351     1.40676     1.33367    0.000999
        5352      1.4064     1.33368 0.000998906
        5353     1.40603     1.33369 0.000998811
        5354     1.40567     1.33371 0.000998715
        5355     1.40529     1.33372 0.000998618
        5356     1.40492     1.33373  0.00099852
