#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         483     1.65666      1.6521 8.88781e-05
         484      1.6567     1.65211 8.91999e-05
         485     1.65673     1.65212 8.95223e-05
         486     1.65676     1.65213 8.98454e-05
         487     1.65679     1.65214 9.01692e-05
         488     1.65682     1.65215 9.04936e-05
         489     1.65686     1.65216 9.08188e-05
         490     1.65689     1.65217 9.11446e-05
         491     1.65692     1.65218 9.14712e-05
         492     1.65695     1.65219 9.17984e-05
         493     1.65699      1.6522 9.21263e-05
         494     1.65702     1.65221  9.2455e-05
         495     1.65705     1.65222 9.27843e-05
         496     1.65708     1.65223 9.31143e-05
         497     1.65712     1.65224  9.3445e-05
         498     1.65715     1.65225 9.37765e-05
         499     1.65718     1.65226 9.41086e-05
         500     1.65722     1.65227 9.44414e-05
         501     1.65725     1.65228  9.4775e-05
         502     1.65728     1.65229 9.51092e-05
         503     1.65732      1.6523 9.54442e-05
         504     1.65735     1.65231 9.57798e-05
         505     1.65738     1.65232 9.61162e-05
         506     1.65742     1.65233 9.64533e-05
         507     1.65745     1.65234 9.67911e-05
         508     1.65749     1.65235 9.71297e-05
         509     1.65752     1.65236 9.74689e-05
         510     1.65755     1.65237 9.78089e-05
         511     1.65759     1.65238 9.81496e-05
         512     1.65762     1.65239  9.8491e-05
         513     1.65766      1.6524 9.88331e-05
         514     1.65769     1.65241  9.9176e-05
         515     1.65773     1.65242 9.95196e-05
         516     1.65776     1.65243 9.98639e-05
         517      1.6578     1.65244 0.000100209
         518     1.65783     1.65245 0.000100555
         519     1.65787     1.65246 0.000100901
         520      1.6579     1.65247 0.000101249
         521     1.65794     1.65248 0.000101597
         522     1.65797     1.65249 0.000101945
         523     1.65801      1.6525 0.000102295
         524     1.65805     1.65251 0.000102645
         525     1.65808     1.65252 0.000102996
         526     1.65812     1.65253 0.000103348
         527     1.65815     1.65255   0.0001037
         528     1.65819     1.65256 0.000104053
         529     1.65823     1.65257 0.000104407
         530     1.65826     1.65258 0.000104762
         531      1.6583     1.65259 0.000105117
         532     1.65834      1.6526 0.000105474
         533     1.65837     1.65261 0.000105831
         534     1.65841     1.65262 0.000106188
         535     1.65845     1.65263 0.000106547
         536     1.65848     1.65264 0.000106906
         537     1.65852     1.65265 0.000107266
         538     1.65856     1.65266 0.000107627
         539      1.6586     1.65268 0.000107989
         540     1.65863     1.65269 0.000108351
         541     1.65867      1.6527 0.000108714
         542     1.65871     1.65271 0.000109078
         543     1.65875     1.65272 0.000109443
         544     1.65879     1.65273 0.000109808
         545     1.65882     1.65274 0.000110174
         546     1.65886     1.65275 0.000110541
         547      1.6589     1.65276 0.000110909
         548     1.65894     1.65278 0.000111278
         549     1.65898     1.65279 0.000111647
         550     1.65902      1.6528 0.000112017
         551     1.65906     1.65281 0.000112388
         552      1.6591     1.65282  0.00011276
         553     1.65913     1.65283 0.000113133
         554     1.65917     1.65284 0.000113506
         555     1.65921     1.65286  0.00011388
         556     1.65925     1.65287 0.000114255
         557     1.65929     1.65288 0.000114631
         558     1.65933     1.65289 0.000115008
         559     1.65937      1.6529 0.000115385
         560     1.65941     1.65291 0.000115763
         561     1.65945     1.65293 0.000116142
         562     1.65949     1.65294 0.000116522
         563     1.65953     1.65295 0.000116903
         564     1.65957     1.65296 0.000117284
         565     1.65961     1.65297 0.000117667
         566     1.65966     1.65298  0.00011805
         567      1.6597       1.653 0.000118434
         568     1.65974     1.65301 0.000118819
         569     1.65978     1.65302 0.000119204
         570     1.65982     1.65303 0.000119591
         571     1.65986     1.65304 0.000119978
         572      1.6599     1.65306 0.000120366
         573     1.65994     1.65307 0.000120755
         574     1.65999     1.65308 0.000121145
         575     1.66003     1.65309 0.000121535
         576     1.66007      1.6531 0.000121927
         577     1.66011     1.65312 0.000122319
         578     1.66016     1.65313 0.000122712
         579      1.6602     1.65314 0.000123106
         580     1.66024     1.65315 0.000123501
         581     1.66028     1.65316 0.000123897
         582     1.66033     1.65318 0.000124293
         583     1.66037     1.65319 0.000124691
         584     1.66041      1.6532 0.000125089
         585     1.66046     1.65321 0.000125488
         586      1.6605     1.65323 0.000125888
         587     1.66054     1.65324 0.000126289
         588     1.66059     1.65325 0.000126691
         589     1.66063     1.65326 0.000127094
         590     1.66067     1.65328 0.000127497
         591     1.66072     1.65329 0.000127901
         592     1.66076      1.6533 0.000128307
         593     1.66081     1.65331 0.000128713
         594     1.66085     1.65333  0.00012912
         595     1.66089     1.65334 0.000129528
         596     1.66094     1.65335 0.000129937
         597     1.66098     1.65337 0.000130346
         598     1.66103     1.65338 0.000130757
         599     1.66107     1.65339 0.000131168
         600     1.66112      1.6534 0.000131581
         601     1.66117     1.65342 0.000131994
         602     1.66121     1.65343 0.000132408
         603     1.66126     1.65344 0.000132823
         604      1.6613     1.65346 0.000133239
         605     1.66135     1.65347 0.000133656
         606     1.66139     1.65348 0.000134074
         607     1.66144      1.6535 0.000134492
         608     1.66149     1.65351 0.000134912
         609     1.66153     1.65352 0.000135332
         610     1.66158     1.65353 0.000135754
         611     1.66163     1.65355 0.000136176
         612     1.66167     1.65356 0.000136599
         613     1.66172     1.65357 0.000137024
         614     1.66177     1.65359 0.000137449
         615     1.66182      1.6536 0.000137875
         616     1.66186     1.65361 0.000138302
         617     1.66191     1.65363  0.00013873
         618     1.66196     1.65364 0.000139159
         619     1.66201     1.65366 0.000139589
         620     1.66205     1.65367 0.000140019
         621      1.6621     1.65368 0.000140451
         622     1.66215      1.6537 0.000140884
         623      1.6622     1.65371 0.000141317
         624     1.66225     1.65372 0.000141752
         625      1.6623     1.65374 0.000142187
         626     1.66235     1.65375 0.000142624
         627      1.6624     1.65376 0.000143061
         628     1.66244     1.65378   0.0001435
         629     1.66249     1.65379 0.000143939
         630     1.66254     1.65381 0.000144379
         631     1.66259     1.65382  0.00014482
         632     1.66264     1.65383 0.000145263
         633     1.66269     1.65385 0.000145706
         634     1.66274     1.65386  0.00014615
         635     1.66279     1.65388 0.000146595
         636     1.66284     1.65389 0.000147041
         637     1.66289      1.6539 0.000147488
         638     1.66295     1.65392 0.000147937
         639       1.663     1.65393 0.000148386
         640     1.66305     1.65395 0.000148836
         641      1.6631     1.65396 0.000149287
         642     1.66315     1.65398 0.000149739
         643      1.6632     1.65399 0.000150192
         644     1.66325       1.654 0.000150646
         645     1.66331     1.65402 0.000151101
         646     1.66336     1.65403 0.000151557
         647     1.66341     1.65405 0.000152014
         648     1.66346     1.65406 0.000152472
         649     1.66351     1.65408 0.000152931
         650     1.66357     1.65409 0.000153391
         651     1.66362     1.65411 0.000153853
         652     1.66367     1.65412 0.000154315
         653     1.66373     1.65414 0.000154778
         654     1.66378     1.65415 0.000155242
         655     1.66383     1.65416 0.000155707
         656     1.66389     1.65418 0.000156173
         657     1.66394     1.65419 0.000156641
         658     1.66399     1.65421 0.000157109
         659     1.66405     1.65422 0.000157578
         660      1.6641     1.65424 0.000158049
         661     1.66416     1.65425  0.00015852
         662     1.66421     1.65427 0.000158993
