#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         362     1.41192     1.37218   0.0273172
         363     1.41194     1.37228   0.0272421
         364     1.41191     1.37239   0.0271675
         365     1.41182      1.3725   0.0270933
         366     1.41167     1.37261   0.0270195
         367     1.41148     1.37271   0.0269461
         368     1.41123     1.37282    0.026873
         369     1.41094     1.37292   0.0268004
         370     1.41059     1.37302   0.0267282
         371      1.4102     1.37312   0.0266563
         372     1.40977     1.37322   0.0265848
         373     1.40928     1.37332   0.0265137
         374     1.40876     1.37341    0.026443
         375     1.40818     1.37351   0.0263727
         376     1.40757      1.3736   0.0263027
         377     1.40691     1.37369   0.0262331
         378     1.40622     1.37377   0.0261638
         379     1.40548     1.37386   0.0260949
         380     1.40471     1.37394   0.0260264
         381      1.4039     1.37402   0.0259582
         382     1.40306     1.37409   0.0258903
         383     1.40218     1.37416   0.0258228
         384     1.40127     1.37424   0.0257557
         385     1.40033      1.3743   0.0256889
         386     1.39936     1.37437   0.0256224
         387     1.39835     1.37443   0.0255563
         388     1.39732     1.37449   0.0254905
         389     1.39626     1.37455    0.025425
         390     1.39517      1.3746   0.0253599
         391     1.39405     1.37465   0.0252951
         392     1.39291     1.37469   0.0252306
         393     1.39174     1.37474   0.0251664
         394     1.39054     1.37478   0.0251026
         395     1.38933     1.37481    0.025039
         396     1.38809     1.37485   0.0249758
         397     1.38682     1.37488   0.0249129
         398     1.38554     1.37491   0.0248504
         399     1.38424     1.37493   0.0247881
         400     1.38291     1.37495   0.0247261
         401     1.38157     1.37496   0.0246645
         402     1.38021     1.37498   0.0246031
         403     1.37884     1.37499   0.0245421
         404     1.37745     1.37499   0.0244813
         405     1.37605       1.375   0.0244209
         406     1.37463       1.375   0.0243607
         407      1.3732     1.37499   0.0243009
         408     1.37175     1.37498   0.0242413
         409      1.3703     1.37497    0.024182
         410     1.36883     1.37496   0.0241231
         411     1.36735     1.37494   0.0240644
         412     1.36586     1.37492    0.024006
         413     1.36436     1.37489   0.0239479
         414     1.36285     1.37486     0.02389
         415     1.36134     1.37483   0.0238325
         416     1.35982     1.37479   0.0237752
         417     1.35829     1.37475   0.0237183
         418     1.35676     1.37471   0.0236616
         419     1.35522     1.37466   0.0236051
         420     1.35367     1.37461    0.023549
         421     1.35212     1.37456   0.0234931
         422     1.35057      1.3745   0.0234375
         423     1.34901     1.37444   0.0233822
         424     1.34745     1.37438   0.0233271
         425     1.34589     1.37431   0.0232723
         426     1.34433     1.37424   0.0232178
         427     1.34277     1.37417   0.0231635
         428     1.34121     1.37409   0.0231095
         429     1.33965     1.37401   0.0230558
         430      1.3381     1.37393   0.0230023
         431     1.33656     1.37384   0.0229491
