#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         506    0.808165    0.857756   0.0124179
         507    0.808548    0.857659   0.0123938
         508    0.808959    0.857563   0.0123698
         509    0.809399    0.857468   0.0123458
         510    0.809867    0.857375    0.012322
         511    0.810364    0.857283   0.0122982
         512    0.810891    0.857192   0.0122745
         513    0.811446    0.857103   0.0122509
         514    0.812032    0.857016   0.0122274
         515    0.812648    0.856929   0.0122039
         516    0.813295    0.856845   0.0121806
         517    0.813974    0.856762   0.0121573
         518    0.814683    0.856681   0.0121341
         519    0.815423    0.856601    0.012111
         520    0.816194    0.856523   0.0120879
         521    0.816996    0.856448    0.012065
         522     0.81783    0.856374   0.0120421
         523    0.818694    0.856302   0.0120193
         524     0.81959    0.856232   0.0119966
         525    0.820519    0.856163   0.0119739
         526    0.821479    0.856098   0.0119513
         527    0.822471    0.856034   0.0119288
         528    0.823494    0.855972   0.0119064
         529    0.824549    0.855913    0.011884
         530    0.825633    0.855856   0.0118617
         531    0.826747    0.855801   0.0118395
         532     0.82789    0.855748   0.0118174
         533    0.829062    0.855698   0.0117953
         534    0.830264    0.855651   0.0117733
         535    0.831494    0.855605   0.0117514
         536     0.83275    0.855563   0.0117296
         537    0.834031    0.855523   0.0117078
         538    0.835336    0.855485   0.0116861
         539    0.836663     0.85545   0.0116644
         540    0.838013    0.855418   0.0116429
         541    0.839385    0.855388   0.0116214
         542    0.840774    0.855361      0.0116
         543    0.842182    0.855337   0.0115787
         544    0.843606    0.855316   0.0115574
         545    0.845045    0.855297   0.0115362
         546    0.846497    0.855281   0.0115151
         547    0.847961    0.855267    0.011494
         548    0.849434    0.855257   0.0114731
         549    0.850915    0.855249   0.0114522
         550    0.852402    0.855243   0.0114314
         551    0.853893    0.855241   0.0114106
         552    0.855387    0.855241   0.0113899
         553    0.856881    0.855244   0.0113693
         554    0.858374     0.85525   0.0113488
         555    0.859863    0.855258   0.0113284
         556    0.861345    0.855269    0.011308
         557    0.862821    0.855283   0.0112877
         558    0.864287    0.855299   0.0112675
         559    0.865743    0.855318   0.0112474
         560    0.867184    0.855339   0.0112273
         561    0.868611    0.855362   0.0112073
         562    0.870019    0.855388   0.0111874
         563     0.87141    0.855417   0.0111676
         564    0.872781    0.855448   0.0111478
         565    0.874132    0.855481   0.0111281
         566    0.875461    0.855516   0.0111085
         567    0.876766    0.855554    0.011089
         568    0.878046    0.855593   0.0110695
         569    0.879299    0.855635   0.0110502
         570    0.880525    0.855678   0.0110309
         571    0.881721    0.855724   0.0110116
         572    0.882887    0.855772   0.0109925
         573    0.884023    0.855821   0.0109734
         574    0.885127    0.855872   0.0109544
         575      0.8862    0.855925   0.0109355
         576     0.88724    0.855979   0.0109166
         577    0.888247    0.856035   0.0108979
         578    0.889222    0.856092   0.0108792
         579    0.890163    0.856151   0.0108605
         580    0.891072    0.856211    0.010842
         581    0.891949    0.856273   0.0108235
         582    0.892794    0.856336   0.0108051
         583    0.893607      0.8564   0.0107867
         584    0.894388    0.856465   0.0107684
         585    0.895138    0.856531   0.0107502
